0,	1,	7.2,	7,	790
0,	5,	9.5,	6.5,	1150
0,	1,	11.8,	6.2,	1190
0,	9,	12,	6.2,	1220	
0,	4,	12,	7,	1230
0,	2,	12,	6.5,	1050
0,	6,	12,	6.3,	1500
0,	8,	12,	6.2,	1400
0,	4,	13.4,	5.5,	1200
0,	5,	13.5,	5.6,	1350
0,	4,	13.5,	6.5,	1300
0,	4,	13.7,	5.4,	1550	
0,	1,	14.5,	6.9,	1400	
0,	4,	14.8,	6.2,	1550
0,	7,	15,	6.3,	1800	
0,	9,	17.5,	6.3,	1600	
0,	4,	18,	9,	1470	
0,	9,	18,	6.3,	1550	
0,	6,	18,	7,	1600	
0,	2,	18,	8,	1700
0,	2,	18,	6.2,	1680
0,	4,	19.7,	5.9,	1700
0,	3,	20,	5.6,	1820
0,	3,	20,	6,	1550
0,	1,	23,	6,	1457
0,	9,	26,	6.3,	2500
0,	6,	31.3,	6.5,	2300
0,	1,	32,	6,	1600
0,	1,	32,	6,	2390
0,	4,	32,	6,	2680
0,	1,	32,	6.5,	2700
0,	2,	35.3,	6.3,	2800
1,	4,	9,	6,	1200
1,	1,	11,	6,	1250
1,	1,	11,	6,	800
1,	5,	11.7,	6.3,	1100
1,	1,	11.8,	6.2,	1300
1,	4,	12,	6,	1550
1,	4,	12,	7,	1250
1,	5,	12,	6.5,	1250
1,	7,	12,	6.5,	1550
1,	6,	12,	7,	1200
1,	6,	12,	6.7,	1350
1,	1,	12,	6.5,	950
1,	4,	12,	6.3,	1200
1,	3,	12.5,	5.5,	930
1,	9,	13.4,	6.2,	1250
1,	3,	13.5,	6.2,	1400
1,	8,	13.6,	6.3,	1250
1,	6,	13.7,	10.5,	1450	
1,	6,	14,	6.5,	1450
1,	3,	14.5,	8.5,	1350
1,	1,	17,	6.3,	1500
1,	8,	17.5,	6,	1550
1,	1,	17.5,	6.2,	1590
1,	9,	17.8,	6.2,	1850
1,	9,	18,	6,	1349
1,	1,	18,	10.5,	1450
1,	6,	18,	6.3,	1650
1,	1,	18,	6.5,	1640
1,	3,	18,	6.2,	1400
1,	8,	18,	6.3,	1400
1,	9,	18,	6.3,	1180
1,	5,	18.2,	6.4,	1850
1,	6,	19,	7.4,	1530
1,	2,	20,	7,	1900
1,	2,	20,	5.6,	1900
1,	1,	20.2,	6.2,	1500
1,	5,	20.4,	7,	1800
1,	5,	25.7,	8.1,	1580
1,	1,	31,	6.5,	2200
1,	7,	31.3,	6.3,	2050
1,	3,	32,	7,	2700
1,	1,	32,	5.5,	2200
1,	1,	35,	7,	2400
